m.z	p.value	t.score
727.7206	0.011204474	2.865963472
140.0336	0.011324988	-2.860797801
577.1272	0.011494326	-2.853628831
375.8577	0.011548087	2.851374244
796.4011	0.011627385	-2.84806729
433.2221	0.01176532	-2.842366805
226.0693	0.011780626	-2.841738259
358.0833	0.011925697	2.835819805
275.9336	0.011939115	-2.83527592
273.0514	0.011960467	-2.834411658
163.123	0.012024365	-2.831834231
154.0149	0.012125451	-2.827783695
595.1452	0.012219249	-2.824054404
238.927	0.012288069	-2.8213358
350.0522	0.012332569	-2.819585766
127.0152	0.012383997	-2.817570867
811.0507	0.012445508	-2.81517156
402.2171	0.012545073	-2.811312139
97.028	0.012560015	-2.810735497
266.9166	0.012637484	-2.807756467
195.0643	0.012729021	2.804259198
307.9496	0.012753856	-2.803314519
296.8556	0.012809947	2.801187507
761.3973	0.012850045	2.79967248
177.04	0.012865207	2.799100831
240.0664	0.012939244	-2.796318623
178.0709	0.013120628	2.78956706
847.9437	0.013146921	-2.788595879
428.0342	0.013204729	2.786467213
464.28	0.013313462	-2.782487619
301.1635	0.013491384	-2.776043054
782.8072	0.013809782	2.764712606
336.0154	0.013902558	2.76145855
175.1094	0.014008291	2.757775525
306.0463	0.014035316	-2.756838476
287.1456	0.014054072	-2.756189156
200.1016	0.014161164	-2.752497657
803.2104	0.014202803	-2.751069599
166.0527	0.01427757	2.74851552
1628.013	0.014301263	-2.747708862
1036.012	0.014357625	-2.745795079
527.3092	0.01451676	2.74043052
857.3628	0.014611228	2.737272696
348.325	0.014722024	-2.733594057
917.8369	0.014789433	2.731368968
150.0576	0.014833802	2.729909767
871.866	0.014909592	-2.727426874
238.0668	0.014947133	2.726201525
945.3682	0.015031084	-2.723472017
256.1102	0.015152307	-2.719556525
792.9376	0.015353084	2.713137331
736.5083	0.015518002	2.707924791
121.9658	0.015911302	-2.695705933
154.0855	0.015966512	-2.694014011
305.0272	0.016029885	-2.692078852
300.106	0.016080132	2.690549709
135.1163	0.016216473	2.686423618
128.0533	0.016397139	2.681007178
274.1223	0.016410549	-2.680607414
202.0565	0.016430169	-2.680023101
443.8022	0.016514204	-2.677528036
158.9715	0.01658573	-2.675413962
315.0243	0.016787263	2.669504094
357.0548	0.016794934	2.669280477
270.3142	0.016909312	2.665958086
493.2974	0.016977231	-2.663995403
249.0569	0.01705134	-2.661862434
185.959	0.017168133	2.658518937
296.9861	0.017604833	2.646207743
530.3886	0.017672353	-2.644330464
237.0664	0.017717716	2.64307306
132.0649	0.017764121	-2.641789996
202.0667	0.017823082	-2.640164358
179.0481	0.017974018	-2.636026272
514.3141	0.018012068	2.63498833
268.028	0.018146003	2.631351464
218.9735	0.018338798	-2.626161238
152.1427	0.018370422	-2.625314892
269.0247	0.018617095	2.618760624
650.8475	0.018646005	2.617997943
155.0272	0.018738023	2.615577818
336.9063	0.018858584	-2.612424165
113.0217	0.019302494	2.600976268
921.077	0.019468295	2.596764926
292.1409	0.019595745	-2.593550953
830.8921	0.019804846	-2.588320952
160.0417	0.019885505	-2.586317616
233.9583	0.020024442	-2.582884967
117.0766	0.020280654	2.576614042
612.1864	0.02045375	2.572420108
313.2329	0.020545584	-2.570208781
779.8835	0.020643166	2.567869383
113.0163	0.020860366	-2.56269993
718.8357	0.020951456	2.560547193
234.9729	0.021083984	2.557431072
182.0085	0.021309904	2.552161784
225.1476	0.021636517	-2.544637361
710.8502	0.021817669	2.540510529
110.0423	0.021894593	-2.538767981
450.3203	0.022025825	2.535808618
295.8762	0.022066377	-2.534897544
819.8174	0.022132457	-2.533416338
235.2046	0.02237179	-2.528086605
729.9084	0.022459463	-2.526147764
720.238	0.022626349	2.522477
194.1171	0.022734474	2.520112435
749.2918	0.022848574	-2.517628778
114.0908	0.022889852	-2.516733171
141.0756	0.023015556	-2.514015202
322.257	0.023108292	2.512019082
98.95597	0.02332118	-2.507465373
536.7774	0.023444743	-2.504840426
356.0121	0.023529015	-2.503057681
105.033	0.023656603	-2.500370132
133.0693	0.023771735	-2.497956724
245.0322	0.023980017	2.493618791
928.8096	0.024070596	2.491743406
793.7179	0.024149159	2.490122231
254.2466	0.024407186	-2.484832745
885.369	0.024440033	-2.484163213
115.0746	0.024577485	2.481370652
779.3389	0.024760851	2.477668226
225.5579	0.024847169	-2.475934321
963.3201	0.025049944	-2.47188347
758.8731	0.025233214	2.468248929
242.1023	0.0253298	-2.466343513
589.1599	0.025368956	2.465573007
109.9582	0.025395517	2.465050986
164.1428	0.025523179	2.462549183
605.3478	0.025698489	-2.459132837
699.8308	0.025756527	-2.458006685
267.1776	0.025828278	2.456617769
119.0849	0.025957863	2.454118552
272.8985	0.026059757	-2.452161676
219.1365	0.026145517	2.450520258
218.9836	0.026290052	-2.447765373
830.3897	0.02634574	-2.446707773
356.8494	0.026395063	-2.445772812
940.9594	0.026452095	-2.444693779
727.5075	0.026495756	2.443869196
1047.52	0.026605832	-2.441796011
308.1039	0.026787132	2.438399004
1222.16	0.026953191	-2.435306565
